rowNumber,id,title,author,pages,status
1,1,The Psychology of Money,Morgan Housel,256,available
2,2,Atomic Habits,James Clear,320,available
3,3,Sapiens,Yuval Noah Harari,464,available
4,4,Dune,Frank Herbert,412,available
5,5,1984,George Orwell,328,available
6,6,Rich Dad Poor Dad,Robert Kiyosaki,336,available
7,7,The Intelligent Investor,Benjamin Graham,640,available
8,8,The Great Gatsby,F. Scott Fitzgerald,180,available
9,9,The Art of War,Sun Tzu,112,available
10,10,The Catcher in the Rye,J.D. Salinger,234,available
11,11,To Kill a Mockingbird,Harper Lee,281,available
12,12,The Alchemist,Paulo Coelho,208,available
13,13,Becoming,Michelle Obama,448,available
14,14,How to Win Friends and Influence People,Dale Carnegie,288,available
15,15,The Subtle Art of Not Giving a F*ck,Mark Manson,224,available
16,16,The Lean Startup,Eric Ries,336,available
17,17,Zero to One,Peter Thiel,224,available
18,18,The 4-Hour Workweek,Tim Ferriss,416,available
19,19,The Hard Thing About Hard Things,Ben Horowitz,304,available
20,20,Outliers,Malcolm Gladwell,309,available
21,21,Grit,Angela Duckworth,352,available
22,22,Educated,Tara Westover,352,available
23,23,The Power of Now,Eckhart Tolle,236,available
24,24,The Road,Cormac McCarthy,287,available
25,25,Meditations,Marcus Aurelius,304,available
26,26,The Hobbit,J.R.R. Tolkien,310,available
27,27,The Fellowship of the Ring,J.R.R. Tolkien,423,available
28,28,The Two Towers,J.R.R. Tolkien,352,available
29,29,The Return of the King,J.R.R. Tolkien,416,available
30,30,Harry Potter and the Sorcerer's Stone,J.K. Rowling,309,available
31,31,Harry Potter and the Chamber of Secrets,J.K. Rowling,341,available
32,32,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,435,available
33,33,Harry Potter and the Goblet of Fire,J.K. Rowling,636,available
34,34,Harry Potter and the Order of the Phoenix,J.K. Rowling,766,available
35,35,Harry Potter and the Half-Blood Prince,J.K. Rowling,607,available
36,36,Harry Potter and the Deathly Hallows,J.K. Rowling,759,available
37,37,Pride and Prejudice,Jane Austen,279,available
38,38,Jane Eyre,Charlotte Bronte,500,available
39,39,Wuthering Heights,Emily Bronte,416,available
40,40,Crime and Punishment,Fyodor Dostoevsky,671,available
41,41,War and Peace,Leo Tolstoy,1225,available
42,42,The Brothers Karamazov,Fyodor Dostoevsky,824,available
43,43,Anna Karenina,Leo Tolstoy,864,available
44,44,Les Misérables,Victor Hugo,1488,available
45,45,Great Expectations,Charles Dickens,544,available
46,46,Moby-Dick,Herman Melville,720,available
47,47,The Adventures of Sherlock Holmes,Arthur Conan Doyle,307,available
